LP Name,Investor Type,Country,S&P,Moody's
Kranot Hishtalmut Le Morim Tichoniim Morey Seminarim Ve Mefakhim Hevra Menahelet Ltd. on behalf of Kranot Hishtalmut Le Morim Tichoniim Morey Seminarim Ve Mefakhim - Mekuzar,Other Pension Plan,Israel,NR,NR
Kranot Hishtalmut Le Morim Ve Gananot Hevra Menahelet Ltd. on behalf of Kranot Hishtalmut Le Morim Ve Gananot,Other Pension Plan,Israel,NR,NR
Kranot Hishtalmut Le Morim Ve Gananot Hevra Menahelet Ltd. on behalf of Kranot Hishtalmut Le Morim Ve Gananot - Mekuzar,Other Pension Plan,Israel,NR,NR
Ligustica L.P.,Fund-of-Funds,UK,NR,NR
Meitav Provident Funds and Pension Ltd,Other Pension Plan,Israel,NR,NR
Régime de Retraite de l'Université du Québec,Corporate Pension Plan,Canada,NR,NR
Saskatchewan Teachers Federation as a trustee of Saskatchewan Teachers Retirement Plan,Public Pension Plan,Canada,NR,NR
Beneva Inc.,Insurance Company,Canada,NR,NR
The National Pension Services of the Republic of Korea,SWF,South Korea,NR,NR
The Public Institution for Social Security,SWF,Kuwait,NR,NR
The Union Life Mutual Assurance Company,Insurance Company,Canada,NR,NR
VOLCOMCAPITAL Infraestructura III Fondo de Inversion,Investment Company,Spain,NR,NR
2013 Ventures LLC,Financial Institution,United States,NR,NR
4475381 Canada Inc,Other Pension Plan,Canada,NR,NR
Capstone Private Infrastructure Fund III,Fund-of-Funds,United States,NR,NR
Fubon Life Insurance Co Ltd,Insurance Company,Taiwan,A-,A3
"NongHyup Bank, acting as trustee of Truston Secondary Infra Qualified Investment Type Private Investment Trust I",Fund-of-Funds,South Korea,NR,NR
University of Liverpool,Endowment,UK,NR,NR
7623615 Canada Inc.,Financial Institution,Canada,NR,NR
Government Pension Fund,Public Pension Plan,Thailand,NR,NR
"NongHyup Bank, acting as trustee of Truston Secondary Infra Qualified Investment Type Private Investment Trust III",Fund-of-Funds,South Korea,NR,NR
"NongHyup Bank, acting as trustee of Truston Secondary Infra Qualified Investment Type Private Investment Trust II (USD)",Fund-of-Funds,South Korea,NR,NR
"NongHyup Bank, acting as trustee of Truston Secondary Infra Qualified Investment Type Private Investment Trust IV",Fund-of-Funds,South Korea,NR,NR
"NongHyup Bank, acting as trustee of Truston Secondary Infra Qualified Investment Type Private Investment Trust V",Fund-of-Funds,South Korea,NR,NR
Provident Company of the Employees of the Hebrew University Ltd. on behalf of: Provident fund of the Employees of the Hebrew University - 60+,Other Pension Plan,Israel,NR,NR
Reut Management Company Of Provident Fund LTD.,Other Pension Plan,Israel,NR,NR
Texas A&M Foundation,Foundation,United States,NR,NR
Training Fund of the Employees of the HUJI,Corporate Pension Plan,Israel,NR,NR
"MedStar Health, Inc.",Corporate,United States,A,A2
"NongHyup Bank, acting as trustee of Truston Secondary Infra Qualified Investment Type Private Investment Trust VI",Fund-of-Funds,South Korea,NR,NR
"NongHyup Bank, acting as trustee of Truston Secondary Infra Qualified Investment Type Private Investment Trust VII",Fund-of-Funds,South Korea,NR,NR
Université de Montréal,Endowment,Canada,NR,NR
AFP Planvital SA Para Fondo de Pension TIPO A 0102749,Other Pension Plan,Chile,NR,NR
AFP Planvital SA Para Fondo de Pension TIPO C 0101535,Other Pension Plan,Chile,NR,NR
AFP Planvital SA Para Fondo de Pension TIPO D 0103234,Other Pension Plan,Chile,NR,NR
AFP Planvital SA Para Fondo de Pension TIPO E 0103242,Other Pension Plan,Chile,NR,NR
KEB Hana Bank as Trustee for KB ASF Infra Private Special Asset Fund (FoFs),Fund-of-Funds,South Korea,NR,NR
CTKWK Main LP,Fund-of-Funds,,NR,NR
Dow Employees' Pension Plan Trust,Corporate Pension Plan,United States,NR,NR
Union Carbide Employees Pension Plan Trust,Corporate Pension Plan,United States,NR,NR
Provident Company of the Employees of the Hebrew University Ltd. on behalf of: Provident fund of the Employees of the Hebrew University - Up to 50,Other Pension Plan,Israel,NR,NR
Agape Capital LLC,Investment Company,United States,NR,NR
New York City Employees Retirement System,Public Pension Plan,United States,AA,Aa2
New York City Fire Department Pension Fund,Public Pension Plan,United States,AA,Aa2
New York City Police Pension Fund,Public Pension Plan,United States,AA,Aa2
The Grable Foundation,Foundation,United States,NR,NR
New York City Board of Education Retirement System,Public Pension Plan,United States,AA+,Aa1
Colorado Public Employees' Retirement Association,Public Pension Plan,United States,AA,Aa1
ASF VIII Infrastructure Private Investors LLC,HNW Platform,United States,NR,NR
ASF VIII Infrastructure Euro Feeder S.C.S SICAV-RAIF,Fund-of-Funds,Luxembourg,NR,NR
Caisse de retraite d'Hydro-Québec,Other Pension Plan,Canada,AA-,Aa2
Cathay Life Insurance Co Ltd,Insurance Company,Taiwan,A-,A3
Colpan Trust GmbH & Co KG,Corporate,Germany,NR,NR
ERI-Lux U.F.S.A.SICAV-RAIF- ERI-FONDS 4 IMMO/PE,Other Pension Plan,Luxembourg,NR,NR
ERI-Lux Umbrella Fund S.A. SICAV-RAIF-ERI-Fonds 5 Private Equity - Segment 6,Other Pension Plan,Luxembourg,NR,NR
GIWA Holding GmbH & Co KGaA,Fund-of-Funds,Germany,NR,NR
ITZARRI EPSV DE EMPLEO,Other Pension Plan,Spain,NR,NR
"LURA-Fonds S.A., SICAV-FIS (Subfund: LURA-Alternatives 2)",Other Pension Plan,Luxembourg,NR,NR
"SAEV AI SCS, SICAV-RAIF - Infrastruktur",Fund-of-Funds,Luxembourg,NR,NR
Soliss Mutua de Seguros,Insurance Company,Spain,NR,NR
Ursula Zindel-Hilti Stiftung,Foundation,Liechtenstein,NR,NR
"Tiera Capital S.C.A., SICAV-RAIF Global Infrastructure Opportunities",Fund-of-Funds,Luxembourg,NR,NR
"AFP Habitat on behalf Pension Funds Type A, B, C, D and E",Other Pension Plan,Chile,NR,NR
"AltIn2016 S.A., SICAV-FIS (Subfund: PE 1)",Fund-of-Funds,Luxembourg,NR,NR
Hilti Pensionskasse,Other Pension Plan,Switzerland,NR,NR
Previs Vorsorge,Other Pension Plan,Switzerland,NR,NR
"VAH Alternative Investments S.A., SICAV-RAIF, Teilfonds I",Fund-of-Funds,Luxembourg,NR,NR
"Custody Bank of Japan, Ltd. A/C: 15358",Other,Japan,NR,NR
Mitsubishi UFJ Trust and Banking Corporation,Financial Institution,Japan,A,A1
"SBI Life Insurance Co., Ltd.",Insurance Company,Japan,NR,NR
The Master Trust Bank of Japan Ltd acting as trustee for Trust Fund n°400039090,Other,Japan,NR,NR
"The Nomura Trust and banking Co, Ltd / TKN2053002",Foundation,Japan,NR,NR
"ASF VIII Infrastructure JPY Feeder S.C.Sp., SICAV-RAIF",Fund-of-Funds,Luxembourg,NR,NR
Clearstream Banking S A AFS AFP Provida Fondo De Pensiones Tipo A,Other Pension Plan,Chile,NR,NR
Clearstream Banking S A AFS AFP Provida Fondo De Pensiones Tipo B,Other Pension Plan,Chile,NR,NR
Clearstream Banking S A AFS AFP Provida Fondo De Pensiones Tipo C,Other Pension Plan,Chile,NR,NR
Clearstream Banking S A AFS AFP Provida Fondo De Pensiones Tipo D,Other Pension Plan,Chile,NR,NR
Global Seguros de Vida S.A.,Insurance Company,Colombia,NR,NR
